epoch,train_loss,train_acc,val_loss,val_acc
1,0.435602,0.866722,0.152359,0.952
2,0.150782,0.953981,0.100088,0.967167
3,0.114288,0.965204,0.088941,0.972833
4,0.09976,0.970019,0.07743,0.978333
5,0.086331,0.973019,0.071434,0.9805
